title,budget,revenue,runtime,vote_average,popularity
The Twilight Saga: Eclipse,68.0,698.491347,124.0,5.9,34.047399
Grown Ups,80.0,271.430189,102.0,6.0,23.981251
The Last Airbender,150.0,318.502923,103.0,4.7,9.544657
Predators,40.0,126.248813,107.0,6.0,9.034929
It's Kind of a Funny Story,8.0,6.49124,101.0,6.9,8.172013
Despicable Me,69.0,543.513985,95.0,7.1,22.274502
The Kids Are All Right,3.5,34.70585,106.0,6.5,5.899155
Rubber,0.5,0.098017,85.0,5.7,5.305905
Legend of the Guardians: The Owls of Ga'Hoole,80.0,140.07339,97.0,6.5,17.674048
The Sorcerer's Apprentice,150.0,215.283742,109.0,5.9,12.533525
Inception,160.0,825.532764,148.0,8.1,29.108149
The Secret World of Arrietty,37.0,145.570827,94.0,7.4,8.636052
Salt,110.0,293.329073,100.0,6.2,8.704455
Khatta Meetha,7.5,10.0,155.0,5.1,0.494047
Scott Pilgrim vs. the World,60.0,47.664559,112.0,7.2,13.793301
Cats & Dogs 2 : The Revenge of Kitty Galore,85.0,112.483764,82.0,4.9,7.941637
Dinner for Schmucks,69.0,86.387857,114.0,5.5,11.623718
The Extra Man,7.0,0.453079,108.0,5.9,3.18614
The Expendables,80.0,274.470394,103.0,6.0,14.75562
Step Up 3D,30.0,159.291809,107.0,6.6,9.111782
This is Sodom,2.745,5.85,88.0,7.5,0.63535
Flipped,14.0,1.755212,89.0,7.4,10.279685
The Other Guys,100.0,170.432927,107.0,6.1,12.536621
"Tomorrow, When the War Began",27.0,16.504936,103.0,6.2,4.983475
Eat Pray Love,60.0,204.594016,133.0,5.8,15.904834
PEEPLI [Live],2.27,6.9,104.0,7.7,2.927226
The Chronicles of Narnia: The Voyage of the Dawn Treader,155.0,415.686217,113.0,6.2,12.383398
Vampires Suck,20.0,80.547866,82.0,4.2,8.129407
Piranha 3D,24.0,83.188165,88.0,5.3,8.212132
Secretariat,35.0,60.251371,123.0,6.8,7.681383
Hatchet II,2.5,0.052604,89.0,5.6,12.525758
Howl,0.03,0.617,84.0,6.8,5.416588
Takers,32.0,69.055695,107.0,6.1,7.000421
The Last Exorcism,1.8,67.73809,87.0,5.6,6.397109
Inhale,10.0,0.055089,100.0,6.3,4.163207
The American,20.0,65.464324,104.0,5.8,7.275649
Going the Distance,32.0,42.045846,102.0,6.0,6.876053
Machete,20.0,31.327899,105.0,6.3,7.120403
Wall Street: Money Never Sleeps,70.0,134.748021,133.0,5.8,9.819864
The Way Back,30.0,20.348249,133.0,6.8,9.402082
Incendies,6.8,7.103838,130.0,7.9,8.596012
The King's Speech,15.0,414.211549,118.0,7.6,11.260387
Super,2.5,0.324138,96.0,6.6,8.309635
Resident Evil: Afterlife,60.0,300.228084,97.0,5.8,0.452934
13 Assassins,6.0,17.555141,141.0,7.1,9.534232
The Virginity Hit,2.0,0.563706,120.0,4.6,2.235068
Easy A,8.0,74.952305,92.0,6.7,15.138144
The Conspirator,25.0,15.4788,122.0,6.2,5.481452
Logan,0.135,0.010474,94.0,5.3,0.588872
Late Autumn,6.2,4.82,113.0,6.9,1.077252
The Romantics,4.5,0.12382,95.0,4.8,8.786269
Trust,9.5,0.12,104.0,6.6,7.778097
Vanishing on 7th Street,10.0,1.068682,92.0,4.8,8.419427
Conviction,12.5,6.73298,107.0,7.0,11.024462
Beginners,3.2,5.332926,105.0,6.8,6.72639
Dirty Girl,4.0,0.055125,90.0,6.4,10.964499
Insidious,1.5,97.00915,103.0,6.8,17.24814
The Ward,10.0,0.498974,88.0,5.8,5.727987
Never Let Me Go,15.0,9.455232,104.0,6.8,8.278794
The Town,37.0,154.026136,125.0,7.0,13.081203
Sarah's Key,10.0,17.511906,111.0,7.2,6.091224
Casino Jack,12.5,1.083683,108.0,6.0,8.5508
Alpha and Omega,20.0,39.3,88.0,5.3,8.16645
Catfish,0.03,3.045943,87.0,6.5,5.174738
Detective Dee and the Mystery of the Phantom Flame,13.0,51.723285,119.0,6.5,7.17548
You Again,20.0,32.005248,105.0,6.0,12.820452
Anjaana Anjaani,6.4,5.9,151.0,6.1,1.82294
Buried,1.98765,19.15248,94.0,6.6,7.389437
Pro Lyuboff,2.0,1.268793,107.0,4.0,0.121844
The Social Network,40.0,224.920315,120.0,7.1,16.972995
Stake Land,0.65,0.033245,98.0,6.2,7.814255
Let Me In,20.0,24.145613,116.0,6.7,11.11946
Enthiran,26.4,62.0,155.0,6.5,4.330396
Freakonomics,3.0,0.103735,93.0,6.7,2.444847
Welcome to the South,4.0,65.584679,102.0,6.6,6.700081
Life As We Know It,38.0,105.610124,114.0,6.6,7.824962
Skinning,0.5,0.000198,97.0,5.9,1.018477
Stone,22.0,9.479718,105.0,5.2,11.275132
My Soul to Take,25.0,19.829957,107.0,5.2,5.282976
Inside Job,2.0,7.871522,109.0,7.7,10.30535
Black Bread,6.0,3.770657,108.0,6.9,3.546146
